"arc_length","p_element"
16.848,32.4143
16.896,32.4143
16.944,32.4143
16.992,32.4143
17.04,32.4143
17.088,32.4143
17.136,32.4143
17.184,32.4143
17.232,32.4143
17.28,32.4143
17.328,32.4143
17.376,32.4143
17.424,32.4143
17.472,32.4143
17.52,32.4143
17.568,32.4143
17.616,32.4143
17.664,32.4143
17.712,32.4143
17.76,32.4143
17.808,32.4143
17.856,32.4143
17.904,32.4143
17.952,32.4143
18,32.4143
18.048,80.6749
18.096,80.6749
18.144,80.6749
18.192,80.6749
18.24,80.6749
18.288,80.6749
18.336,80.6749
18.384,80.6749
18.432,80.6749
18.48,80.6749
18.528,80.6749
18.576,80.6749
18.624,80.6749
18.672,80.6749
18.72,80.6749
18.768,80.6749
18.816,80.6749
18.864,80.6749
18.912,80.6749
18.96,80.6749
19.008,80.6749
19.056,80.6749
19.104,80.6749
19.152,80.6749
19.2,80.6749
19.248,80.6749
19.296,80.6749
19.344,80.6749
19.392,80.6749
19.44,80.6749
19.488,80.6749
19.536,-50.4504
19.584,-50.4504
19.632,-50.4504
19.68,-50.4504
19.728,-50.4504
19.776,-50.4504
19.824,-50.4504
19.872,-50.4504
19.92,-50.4504
19.968,-50.4504
20.016,-50.4504
20.064,-50.4504
20.112,-50.4504
20.16,-50.4504
20.208,-50.4504
20.256,-50.4504
20.304,-50.4504
20.352,-50.4504
20.4,-50.4504
20.448,-50.4504
20.496,-50.4504
20.544,-50.4504
20.592,-50.4504
20.64,-50.4504
20.688,-50.4504
20.736,-50.4504
20.784,-50.4504
20.832,-50.4504
20.88,-50.4504
20.928,-50.4504
20.976,-50.4504
21.024,-49.726
21.072,-49.726
21.12,-49.726
21.168,-49.726
21.216,-49.726
21.264,-49.726
21.312,-49.726
21.36,-49.726
21.408,-49.726
21.456,-49.726
21.504,-49.726
21.552,-49.726
21.6,-49.726
21.648,-49.726
21.696,-49.726
21.744,-49.726
21.792,-49.726
21.84,-49.726
21.888,-49.726
21.936,-49.726
21.984,-49.726
22.032,-49.726
22.08,-49.726
22.128,-49.726
22.176,-49.726
22.224,-49.726
22.272,-49.726
22.32,-49.726
22.368,-49.726
22.416,-49.726
22.464,-49.726
22.512,360.996
22.56,6.79567
22.608,6.79567
22.656,6.79567
